person,province,party,age,age_range,gender
JAN WILLEM VAN DER WESTHUIZEN,National,VRYHEIDSFRONT PLUS,64,60 - 79,Male
GIDEON RUDOLPH DE VRIES,National,VRYHEIDSFRONT PLUS,48,39 - 59,Male
VICTOR HUGO SMIT,National,VRYHEIDSFRONT PLUS,55,39 - 59,Male
FRANCOIS ALWYN SCHEEPERS,National,VRYHEIDSFRONT PLUS,51,39 - 59,Male
JACOB PIETER VAN DEN BERG,National,VRYHEIDSFRONT PLUS,72,60 - 79,Male
JOHANN FRIEDRICH WEBER,National,VRYHEIDSFRONT PLUS,25,less than 39,Male
BENJAMIN CHRISTIAAN SCHOONWINKEL,National,VRYHEIDSFRONT PLUS,24,less than 39,Male
JOHANNES URBANUS VAN DER WALT,National,VRYHEIDSFRONT PLUS,57,39 - 59,Male
REYNIER JOHANNES ROSSOUW,National,VRYHEIDSFRONT PLUS,30,less than 39,Male
DIEDERIK FRANCOIS KRUGER,National,VRYHEIDSFRONT PLUS,63,60 - 79,Male
CORNELIUS CASPARUS MEYER,National,VRYHEIDSFRONT PLUS,71,60 - 79,Male
JOHANN JORDAAN,National,VRYHEIDSFRONT PLUS,46,39 - 59,Male
CORNELIA ELIZABETH VAN DER LINDE,National,VRYHEIDSFRONT PLUS,42,39 - 59,Female
FLORENCE ETHEL LONGLAND,National,VRYHEIDSFRONT PLUS,55,39 - 59,Female
GUILLAUME FRANCOIS NEL,National,VRYHEIDSFRONT PLUS,78,60 - 79,Male
JACQUELINE CALITZ,National,VRYHEIDSFRONT PLUS,39,39 - 59,Female
CHRISTOFFEL JOHANNES VILJOEN,National,VRYHEIDSFRONT PLUS,58,39 - 59,Male
NEIL COLBORNE,National,VRYHEIDSFRONT PLUS,37,less than 39,Male
PAUL ROUX WENTZEL,National,VRYHEIDSFRONT PLUS,63,60 - 79,Male
LOWINA CHRISTINA MATTHEUS,National,VRYHEIDSFRONT PLUS,65,60 - 79,Female
MARTIN GIDEON RAUTENBACH,National,VRYHEIDSFRONT PLUS,57,39 - 59,Male
ARTHUR LLEWELLYN ISTED NAUDÉ,National,VRYHEIDSFRONT PLUS,66,60 - 79,Male
PETRUS JACOBUS ARNOLDUS VAN DER MERWE,National,VRYHEIDSFRONT PLUS,64,60 - 79,Male
FRANCIS JOHANNES ROBBETZE,National,VRYHEIDSFRONT PLUS,57,39 - 59,Male
RUDI VENTER,National,VRYHEIDSFRONT PLUS,55,39 - 59,Male
GERHARD LOTZ,National,VRYHEIDSFRONT PLUS,47,39 - 59,Male
JOHN PATRICK STRINGER,National,VRYHEIDSFRONT PLUS,62,60 - 79,Male
VICTOR WILHELM CHRISTIAN MÖHLE,National,VRYHEIDSFRONT PLUS,69,60 - 79,Male
CHRISTIAAN TOERIEN,National,VRYHEIDSFRONT PLUS,33,less than 39,Male
LUKAS CORNELIUS VAN DER MERWE,National,VRYHEIDSFRONT PLUS,49,39 - 59,Male
JOHANNES VENTER,National,VRYHEIDSFRONT PLUS,75,60 - 79,Male
MARIO QUENTIN SWANEPOEL,National,VRYHEIDSFRONT PLUS,26,less than 39,Male
ROY MATTHEE,National,VRYHEIDSFRONT PLUS,41,39 - 59,Male
PIETER JACOBUS LONGLAND,National,VRYHEIDSFRONT PLUS,53,39 - 59,Male
JACOBA FRANCINA VAN DER MERWE,National,VRYHEIDSFRONT PLUS,61,60 - 79,Female
MORNÉ VAN DER MERWE,National,VRYHEIDSFRONT PLUS,28,less than 39,Male
CORNELIUS JOHANNES VENTER,National,VRYHEIDSFRONT PLUS,68,60 - 79,Male
JOHANNES JURGENS KLEINHANS,National,VRYHEIDSFRONT PLUS,43,39 - 59,Male
JAN HENDRIK JACOBUS VAN DEN BERGH,National,VRYHEIDSFRONT PLUS,59,39 - 59,Male
FRANCOIS KRUGER,National,VRYHEIDSFRONT PLUS,33,less than 39,Male
HENDRIENA MAGARETHA VAN DER MERWE,National,VRYHEIDSFRONT PLUS,62,60 - 79,Female
JOHANNES VREUGDENBURG,National,VRYHEIDSFRONT PLUS,73,60 - 79,Male
STEPHANUS TERBLANCHE,National,VRYHEIDSFRONT PLUS,50,39 - 59,Male
JOHANNES KOENRAAD LOUW,National,VRYHEIDSFRONT PLUS,34,less than 39,Male
LINDIWE NANA NGOBESE,National,WOMEN FORWARD,48,39 - 59,Female
SARAH EDITH RUSSELL COLLINS,National,WOMEN FORWARD,40,39 - 59,Female
TSHIFHIWA CONSTANCE NANGAMMBI,National,WOMEN FORWARD,30,less than 39,Female
SIBONGILE ISABEL SHEZI,National,WOMEN FORWARD,46,39 - 59,Female
EDZISANI REGUEL MULAUDZI,National,WOMEN FORWARD,43,39 - 59,Male
RUDZANI EMELY MADZAGADZAGA,National,WOMEN FORWARD,32,less than 39,Female
JEANETTE THABISENG RADEBE,National,WOMEN FORWARD,39,39 - 59,Female
